dataset,term,selector,report_label,evaluation_run,item,channel,selected_method,validation_dates,observed_best,block_length,fallback_reason
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,4,0,vanilla_multivariate,5,vanilla_multivariate,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,4,1,top_k_20,5,top_k_20,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,4,2,vanilla_multivariate,5,vanilla_multivariate,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,4,3,vanilla_multivariate,5,vanilla_multivariate,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,4,4,vanilla_multivariate,5,top_k_10,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,4,5,vanilla_multivariate,5,vanilla_multivariate,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,5,0,top_k_5,5,top_k_5,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,5,1,top_k_5,5,top_k_5,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,5,2,top_k_20,5,top_k_20,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,5,3,top_k_1,5,top_k_1,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,5,4,top_k_20,5,top_k_20,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,5,5,top_k_5,5,top_k_5,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,6,0,vanilla_univariate,5,self_augmentation,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,6,1,vanilla_univariate,5,self_augmentation,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,6,2,vanilla_multivariate,5,vanilla_multivariate,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,6,3,self_augmentation,5,self_augmentation,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,6,4,vanilla_multivariate,5,vanilla_multivariate,3,
Water_Quality_Darwin/15T,long,selected_per_variate,selected_per_variate,run_0,6,5,top_k_15,5,top_k_15,3,
Water_Quality_Darwin/15T,long,scope_selector,scope_selector,run_0,,,vanilla_multivariate,35,vanilla_multivariate,3,
current_velocity/5T,short,selected_task,selected_task,run_0,,,vanilla_univariate,120,vanilla_univariate,5,
current_velocity/5T,short,selected_per_variate,selected_per_variate,run_0,0,0,vanilla_multivariate,120,top_k_20,5,
current_velocity/5T,short,selected_per_variate,selected_per_variate,run_0,0,1,vanilla_univariate,120,vanilla_multivariate,5,
current_velocity/5T,short,selected_per_variate,selected_per_variate,run_0,0,2,vanilla_univariate,120,vanilla_univariate,5,
current_velocity/5T,short,selected_per_variate,selected_per_variate,run_0,0,3,vanilla_univariate,120,top_k_10,5,
current_velocity/5T,short,selected_per_variate,selected_per_variate,run_0,0,4,top_k_5,120,top_k_5,5,
current_velocity/5T,short,selected_per_variate,selected_per_variate,run_0,0,5,vanilla_univariate,120,vanilla_univariate,5,
current_velocity/5T,short,scope_selector,scope_selector,run_0,,,vanilla_univariate,120,vanilla_univariate,5,
current_velocity/5T,medium,selected_task,selected_task,run_0,,,vanilla_univariate,15,top_k_15,3,
current_velocity/5T,medium,selected_per_variate,selected_per_variate,run_0,0,0,vanilla_univariate,15,top_k_5,3,
current_velocity/5T,medium,selected_per_variate,selected_per_variate,run_0,0,1,top_k_10,15,top_k_15,3,
current_velocity/5T,medium,selected_per_variate,selected_per_variate,run_0,0,2,vanilla_univariate,15,vanilla_univariate,3,
current_velocity/5T,medium,selected_per_variate,selected_per_variate,run_0,0,3,vanilla_univariate,15,vanilla_multivariate,3,
current_velocity/5T,medium,selected_per_variate,selected_per_variate,run_0,0,4,top_k_5,15,top_k_20,3,
current_velocity/5T,medium,selected_per_variate,selected_per_variate,run_0,0,5,vanilla_univariate,15,vanilla_univariate,3,
current_velocity/5T,medium,scope_selector,scope_selector,run_0,,,vanilla_univariate,15,vanilla_univariate,3,
current_velocity/5T,long,selected_task,selected_task,run_0,,,top_k_15,5,top_k_20,4,
current_velocity/5T,long,selected_per_variate,selected_per_variate,run_0,0,0,top_k_5,5,top_k_20,4,
current_velocity/5T,long,selected_per_variate,selected_per_variate,run_0,0,1,top_k_20,5,top_k_20,4,
